ticker,entry_ts,outcome,pnl_pct,vol_regime,trend_regime,mkt_regime
ARAI,2026-04-09 13:55:00+00:00,win,13.0966,extreme,sideways,bull
ARAI,2026-04-09 09:10:00+00:00,loss,-0.124,extreme,sideways,bull
ARAI,2026-04-09 12:05:00+00:00,win,2.378,extreme,sideways,bull
AIB,2026-04-06 19:55:00+00:00,loss,-0.124,extreme,sideways,bull
INDO,2026-04-06 08:40:00+00:00,win,0.6442,extreme,sideways,bull
INDO,2026-04-06 09:00:00+00:00,win,0.8165,extreme,sideways,bull
GME,2026-04-06 08:20:00+00:00,loss,-0.0571,extreme,sideways,bull
GLND,2026-04-06 11:35:00+00:00,loss,-0.124,extreme,sideways,bull
ONDS,2026-04-02 21:30:00+00:00,loss,-0.124,extreme,sideways,bull
TMDE,2026-04-02 08:40:00+00:00,win,8.871,extreme,sideways,bull
RENX,2026-04-01 17:05:00+00:00,loss,-0.124,extreme,sideways,bull
DEFT,2026-04-01 14:50:00+00:00,loss,-0.124,extreme,sideways,bull
DEFT,2026-04-01 10:10:00+00:00,win,6.0227,extreme,sideways,bull
DEFT,2026-04-01 11:20:00+00:00,loss,-0.124,extreme,sideways,bull
DEFT,2026-04-01 12:20:00+00:00,win,6.0227,extreme,sideways,bull
POLA,2026-03-30 20:20:00+00:00,loss,-0.124,extreme,sideways,bull
BFRG,2026-03-30 14:45:00+00:00,loss,-0.124,extreme,sideways,bull
AZTR,2026-03-30 08:35:00+00:00,win,1.4235,extreme,sideways,bull
AZTR,2026-03-30 14:25:00+00:00,loss,-0.124,extreme,sideways,bull
RZLV,2026-03-30 13:45:00+00:00,win,2.7239,extreme,sideways,bull
RZLV,2026-03-30 14:55:00+00:00,win,2.1022,extreme,sideways,bull
RZLV,2026-03-30 15:15:00+00:00,win,7.5697,extreme,sideways,bull
RZLV,2026-03-30 19:55:00+00:00,win,2.1022,extreme,sideways,bull
MKDW,2026-03-26 21:55:00+00:00,loss,-0.124,extreme,sideways,bull
RBNE,2026-03-26 19:40:00+00:00,loss,-0.124,extreme,sideways,bull
AIFF,2026-03-24 17:15:00+00:00,loss,-0.1058,extreme,sideways,bull
AIFF,2026-03-24 19:00:00+00:00,timeout,5.2023,extreme,sideways,bull
IBO,2026-03-23 08:25:00+00:00,loss,-0.124,extreme,sideways,bull
IBO,2026-03-23 12:05:00+00:00,loss,-0.124,extreme,sideways,bull
OPTT,2026-03-23 13:50:00+00:00,win,0.9174,extreme,sideways,bull
BFRG,2026-04-13 14:15:00+00:00,loss,-0.124,extreme,sideways,bull
BFRG,2026-04-13 15:55:00+00:00,loss,-0.0039,extreme,sideways,bull
BATL,2026-04-13 14:05:00+00:00,loss,-0.124,extreme,sideways,bull
BATL,2026-04-13 15:10:00+00:00,win,1.13,extreme,sideways,bull
BATL,2026-04-13 15:40:00+00:00,win,0.4457,extreme,sideways,bull
BATL,2026-04-13 16:00:00+00:00,win,0.4429,extreme,sideways,bull
BFRG,2026-04-13 20:55:00+00:00,loss,-0.0904,extreme,sideways,bull
BFRG,2026-04-13 22:00:00+00:00,win,0.8796,extreme,sideways,bull
BIAF,2026-04-13 20:25:00+00:00,win,6.0227,extreme,sideways,bull
HOTH,2026-04-14 16:15:00+00:00,loss,-0.124,extreme,sideways,bull
ANNA,2026-04-14 14:40:00+00:00,win,1.8948,extreme,sideways,bull
SLNH,2026-04-14 14:35:00+00:00,loss,-0.124,extreme,sideways,bull
RMSG,2026-04-14 15:45:00+00:00,win,1.0893,extreme,sideways,bull
RMSG,2026-04-14 16:35:00+00:00,win,0.2775,extreme,sideways,bull
ARAI,2026-04-14 09:40:00+00:00,win,3.5919,extreme,sideways,bull
PMNT,2026-04-14 21:05:55+00:00,win,6.0227,extreme,sideways,bull
NCI,2026-04-15 17:30:00+00:00,win,1.4369,extreme,sideways,bull
CIIT,2026-04-15 16:20:00+00:00,loss,-0.124,extreme,sideways,bull
ASTC,2026-04-15 15:35:00+00:00,loss,-0.124,extreme,sideways,bull
ASTC,2026-04-15 17:25:00+00:00,win,1.5932,extreme,sideways,bull
FCHL,2026-04-15 12:20:00+00:00,win,0.5986,extreme,sideways,bull
FCHL,2026-04-15 12:40:00+00:00,loss,-0.1,extreme,sideways,bull
SNAL,2026-04-15 11:05:00+00:00,loss,-0.124,extreme,sideways,bull
SNAL,2026-04-15 11:50:00+00:00,loss,-0.124,extreme,sideways,bull
CTNT,2026-04-16 16:40:00+00:00,win,6.0227,extreme,sideways,bull
CTNT,2026-04-16 18:40:00+00:00,loss,-0.124,extreme,sideways,bull
AGAE,2026-04-16 17:45:00+00:00,win,1.429,extreme,sideways,bull
AGAE,2026-04-16 19:45:00+00:00,loss,-0.124,extreme,sideways,bull
NCI,2026-04-16 09:15:00+00:00,loss,-0.124,extreme,sideways,bull
